FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X940001	1								Dn, < 0.1				Up, < 0.1		
X940002	2					Dn, < 0.1									
X940005	5	Dn, < 0.1		Dn, < 0.001											Up, < 0.01
X940007	7		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.001	Dn, < 0.001	Dn, < 0.01		Dn, < 0.001			Up, < 0.1	
X940010	10	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X940013	13						Dn, < 0.1				Dn, < 0.1				
X940014	14								Dn, < 0.1				Up, < 0.1		
X940021	21														Dn, < 0.1
X940022	22												Up, < 0.1		Dn, < 0.1
X940024	24						Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X940025	25			Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1							
X940026	26								Dn, < 0.001	Dn, < 0.1			Up, < 0.01	Up, < 0.01	
X940027	27	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X940028	28					Dn, < 0.01							Up, < 0.1		
X940029	29	Up, < 0.1		Up, < 0.1					Up, < 0.1				Dn, < 0.1		
X940031	31	Dn, < 0.1		Dn, < 0.01			Dn, < 0.1	Dn, < 0.1							
X940032	32										Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1
X940034	34								Dn, < 0.1				Up, < 0.1		
X940040	40								Dn, < 0.1						Dn, < 0.1
X940043	43		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	Up, < 0.1						Dn, < 0.1	
X940045	45													Dn, < 0.1	
X940047	47		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X940048	48														Dn, < 0.1
X940049	49		Up, < 0.1		Up, < 0.1										
X940050	50								Dn, < 0.1	Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X940053	53	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X940054	54														Dn, < 0.1
X940058	58					Dn, < 0.01									
X940059	59		Up, < 0.1		Up, < 0.1										
X940062	62	Up, < 0.1		Up, < 0.1											
X940069	69					Up, < 0.1						Up, < 0.1			
X940072	72	Up, < 0.1	Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X940073	73			Dn, < 0.1			Up, < 0.1								
X940074	74								Dn, < 0.1	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X940080	80	Dn, < 0.1													
X940084	84									Up, < 0.1					
X940086	86					Up, < 0.01								Dn, < 0.1	
X940089	89														Dn, < 0.1
X940091	91						Dn, < 0.1								
X940092	92	Up, < 0.001		Up, < 0.01										Up, < 0.1	
X940093	93								Dn, < 0.1				Up, < 0.1		
X940097	97							Dn, < 0.1	Dn, < 0.1		Dn, < 0.1			Up, < 0.1	
X940102	102		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1		Up, < 0.1							
X940104	104											Dn, < 0.1			
X940108	108								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X940115	115										Dn, < 0.1				
X940120	120	Dn, < 0.01		Dn, < 0.001											
X940126	126					Up, < 0.1									
X940127	127	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1						Dn, < 0.1	Dn, < 0.1			
X940129	129												Dn, < 0.1		
X940130	130	Dn, < 0.01		Dn, < 0.01										Dn, < 0.1	
X940133	133					Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X940143	143	Up, < 0.1												Up, < 0.1	
X940145	145					Up, < 0.1									
X940147	147		Dn, < 0.1		Dn, < 0.1										
X940148	148					Up, < 0.1			Up, < 0.1						
X940152	152		Dn, < 0.1	Up, < 0.1	Dn, < 0.1										
X940158	158						Dn, < 0.1								
X940163	163					Dn, < 0.1			Up, < 0.01	Up, < 0.1					
X940168	168										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X940176	176											Dn, < 0.1			
X940178	178			Up, < 0.1		Up, < 0.1									
X940179	179			Dn, < 0.1			Dn, < 0.1	Dn, < 0.1							
X940184	184								Up, < 0.01	Up, < 0.1			Dn, < 0.01		
X940185	185					Up, < 0.01						Dn, < 0.1			
X940186	186					Up, < 0.1					Up, < 0.1		Up, < 0.1		
X940193	193													Up, < 0.1	
X940203	203		Dn, < 0.01		Dn, < 0.1						Up, < 0.1	Up, < 0.1	Up, < 0.1		
X940211	211														Dn, < 0.1
X940214	214	Dn, < 0.1					Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.01		Dn, < 0.1		
X940217	217					Up, < 0.1									
X940223	223		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X940227	227					Up, < 0.01									
X940230	230								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X940232	232	Up, < 0.1					Up, < 0.1				Up, < 0.1		Up, < 0.1	Up, < 0.01	
X940233	233								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X940237	237	Up, < 0.1					Up, < 0.001	Up, < 0.1	Up, < 0.1		Up, < 0.01				
X940239	239								Up, < 0.1				Dn, < 0.1		
X940244	244														Dn, < 0.1
X940248	248								Up, < 0.01					Dn, < 0.1	
X940251	251					Up, < 0.001					Up, < 0.1				
X940256	256					Up, < 0.01			Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X940259	259	Up, < 0.1		Up, < 0.1							Dn, < 0.1		Dn, < 0.1	Up, < 0.1	
X940261	261						Up, < 0.01							Up, < 0.001	
X940264	264												Up, < 0.1	Up, < 0.1	
X940270	270										Up, < 0.1				
X940271	271														Dn, < 0.1
X940278	278		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X940281	281														Dn, < 0.1
X940284	284					Up, < 0.1									
X940288	288	Up, < 0.1		Up, < 0.001	Dn, < 0.1		Up, < 0.1		Up, < 0.1						Dn, < 0.1
X940291	291													Up, < 0.1	Dn, < 0.1
X940297	297		Dn, < 0.1		Dn, < 0.1				Up, < 0.1						
X940301	301			Dn, < 0.1		Up, < 0.1									
X940302	302	Dn, < 0.1							Up, < 0.1						
X940303	303													Up, < 0.1	
X940305	305					Dn, < 0.1							Up, < 0.1		
X940306	306	Dn, < 0.01		Dn, < 0.1										Dn, < 0.01	
X940312	312					Dn, < 0.1				Dn, < 0.1			Up, < 0.1		
X940314	314		Up, < 0.01		Up, < 0.01										Up, < 0.01
X940322	322								Up, < 0.1						
X940324	324													Dn, < 0.1	
X940325	325								Dn, < 0.01			Up, < 0.1	Up, < 0.01	Up, < 0.1	
X940329	329										Up, < 0.1				
X940332	332						Dn, < 0.1				Dn, < 0.1			Dn, < 0.1	
X940335	335														Dn, < 0.1
X940338	338		Dn, < 0.01		Dn, < 0.01				Up, < 0.1				Dn, < 0.1	Up, < 0.1	Dn, < 0.001
X940339	339	Up, < 0.1												Up, < 0.1	
X940347	347		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Up, < 0.1									
X940349	349								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X940351	351	Up, < 0.1		Up, < 0.1											Dn, < 0.1
X940353	353						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			Up, < 0.1			
X940354	354	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1			Dn, < 0.1						
X940355	355					Up, < 0.1									
X940364	364													Dn, < 0.1	
X940368	368	Up, < 0.1													
X940374	374		Up, < 0.1		Up, < 0.1			Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X940375	375		Dn, < 0.1		Dn, < 0.1	Up, < 0.01						Up, < 0.1			
X940379	379					Up, < 0.1						Up, < 0.1	Up, < 0.1		
X940383	383	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X940391	391					Up, < 0.1									
X940411	411						Dn, < 0.01	Dn, < 0.1						Dn, < 0.1	
X940413	413								Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X940420	420						Up, < 0.1								
X940444	444														Dn, < 0.01
X940445	445														Dn, < 0.1
X940450	450		Dn, < 0.1		Dn, < 0.1				Dn, < 0.01	Dn, < 0.1			Up, < 0.1		Dn, < 0.001
X940456	456				Up, < 0.1				Up, < 0.1				Dn, < 0.1		
X940474	474														Dn, < 0.1
X940483	483							Dn, < 0.1		Up, < 0.1					Up, < 0.1
X940484	484								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X940487	487						Up, < 0.1		Up, < 0.1		Up, < 0.1			Dn, < 0.1	
X940488	488						Dn, < 0.1							Dn, < 0.1	
X940498	498		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X940501	501	Up, < 0.1		Up, < 0.1							Dn, < 0.1	Dn, < 0.1			
X940506	506						Dn, < 0.1							Dn, < 0.1	
X940529	529		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X940532	532														Dn, < 0.1
X940534	534													Dn, < 0.1	
X940535	535							Up, < 0.01	Dn, < 0.1	Dn, < 0.001		Dn, < 0.1			
X940540	540					Up, < 0.1									
X940547	547		Dn, < 0.1		Dn, < 0.01		Dn, < 0.1		Dn, < 0.1				Up, < 0.1		Dn, < 0.01
X940550	550								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.001	
X940551	551										Up, < 0.1				
X940555	555													Up, < 0.1	
X940558	558					Up, < 0.1									
X940560	560								Dn, < 0.1					Up, < 0.01	
X940562	562														Dn, < 0.1
X940570	570	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X940571	571													Up, < 0.1	
X940580	580														Dn, < 0.1
X940584	584	Up, < 0.1									Dn, < 0.1				
X940589	589	Up, < 0.1													
X940602	602													Dn, < 0.1	Dn, < 0.1
X940606	606	Up, < 0.1													
X940625	625						Dn, < 0.1							Dn, < 0.1	Dn, < 0.1
X940641	641						Dn, < 0.01	Dn, < 0.1			Dn, < 0.1				
X940649	649		Dn, < 0.1		Dn, < 0.1										
X940652	652	Dn, < 0.1		Dn, < 0.01				Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X940662	662			Dn, < 0.1			Up, < 0.1		Up, < 0.1						
X940674	674						Up, < 0.001		Up, < 0.1					Up, < 0.1	
X940689	689				Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X940690	690											Up, < 0.1			
X940700	700						Dn, < 0.1							Dn, < 0.01	
X940714	714														Dn, < 0.1
X940721	721								Dn, < 0.1				Up, < 0.1		
X940748	748			Up, < 0.1											
X940756	756		Up, < 0.1		Up, < 0.1										
X940761	761	Up, < 0.1				Dn, < 0.1	Up, < 0.01	Up, < 0.1						Up, < 0.1	
X940763	763		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1						
X940769	769														Dn, < 0.1
X940778	778		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X940786	786					Up, < 0.01									
X940796	796		Dn, < 0.1		Dn, < 0.1										
X940816	816					Up, < 0.01									
X940827	827							Up, < 0.1		Dn, < 0.1					
X940833	833		Dn, < 0.1		Dn, < 0.1										
X940843	843								Dn, < 0.1						
X940844	844														Dn, < 0.1
X940847	847					Up, < 0.01									
X940852	852	Up, < 0.1		Up, < 0.01											
X940863	863													Up, < 0.1	
X940871	871													Up, < 0.001	
X940882	882	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X940892	892					Dn, < 0.1					Up, < 0.1	Up, < 0.1	Up, < 0.1		
X940907	907							Dn, < 0.1		Up, < 0.1		Up, < 0.1		Dn, < 0.1	
X940912	912							Dn, < 0.1							
X940917	917	Up, < 0.1				Up, < 0.1									
X940925	925		Up, < 0.1		Up, < 0.1										
X940936	936	Up, < 0.1		Up, < 0.1		Dn, < 0.01						Up, < 0.1	Up, < 0.1		
X940941	941	Up, < 0.1	Dn, < 0.01		Dn, < 0.1										
X940946	946					Up, < 0.01									Up, < 0.1
X940961	961			Up, < 0.1											Dn, < 0.1
X940966	966					Up, < 0.1			Up, < 0.1						
X940968	968								Dn, < 0.1				Up, < 0.1		
X941001	1001					Up, < 0.1		Dn, < 0.1		Up, < 0.1			Dn, < 0.1		
X941014	1014		Up, < 0.1		Up, < 0.1				Dn, < 0.1						
X941024	1024					Dn, < 0.1								Up, < 0.1	
X941028	1028								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X941037	1037				Dn, < 0.1										Dn, < 0.1
X941043	1043								Up, < 0.1		Up, < 0.1				
X941046	1046					Up, < 0.1			Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X941049	1049									Dn, < 0.1					Dn, < 0.01
X941051	1051								Dn, < 0.1				Up, < 0.01	Up, < 0.01	
X941066	1066						Dn, < 0.1	Dn, < 0.1			Dn, < 0.1				Up, < 0.1
X941074	1074			Dn, < 0.1			Up, < 0.1		Up, < 0.01				Dn, < 0.1		
X941079	1079		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X941080	1080						Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.001	Up, < 0.1			
X941091	1091					Up, < 0.01								Dn, < 0.1	
X941095	1095		Dn, < 0.1		Dn, < 0.1										Dn, < 0.001
X941118	1118								Dn, < 0.1						
X941124	1124	Up, < 0.01												Up, < 0.01	
X941134	1134				Up, < 0.1	Dn, < 0.1									
X941144	1144							Dn, < 0.1		Up, < 0.1				Dn, < 0.01	
X941153	1153		Dn, < 0.1		Dn, < 0.1										
X941192	1192										Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X941202	1202	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X941204	1204					Up, < 0.01									
X941208	1208														Dn, < 0.1
X941241	1241		Dn, < 0.1		Dn, < 0.1										
X941250	1250								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X941253	1253								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X941257	1257	Up, < 0.1		Up, < 0.1										Up, < 0.1	Dn, < 0.1
X941259	1259						Dn, < 0.1	Dn, < 0.1				Up, < 0.1			
X941265	1265												Up, < 0.1		
X941308	1308								Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		Dn, < 0.1
X941320	1320	Dn, < 0.1		Dn, < 0.1											
X941367	1367		Up, < 0.1		Up, < 0.1										
X941373	1373														Up, < 0.1
X941384	1384								Up, < 0.1	Up, < 0.1					
X941385	1385		Up, < 0.1		Up, < 0.1		Dn, < 0.01	Dn, < 0.1			Dn, < 0.001		Dn, < 0.1		
X941392	1392	Dn, < 0.1				Dn, < 0.1	Up, < 0.1		Up, < 0.1		Up, < 0.1				
X941398	1398					Dn, < 0.1					Dn, < 0.1		Dn, < 0.1		
X941404	1404	Up, < 0.1												Up, < 0.1	
X941408	1408					Up, < 0.01								Dn, < 0.1	
X941422	1422		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1									Dn, < 0.1
X941439	1439		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X941445	1445						Dn, < 0.1								
X941454	1454							Dn, < 0.1							
X941460	1460	Up, < 0.1							Dn, < 0.1						
X941464	1464					Up, < 0.1									
X941519	1519	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1										Up, < 0.1
X941547	1547	Dn, < 0.1		Dn, < 0.1		Up, < 0.1									
X941582	1582					Up, < 0.1	Dn, < 0.1								
X941617	1617					Up, < 0.01								Dn, < 0.1	
X941623	1623										Dn, < 0.1		Dn, < 0.1		
X941624	1624								Dn, < 0.01				Up, < 0.1		
X941639	1639	Dn, < 0.1													
X941680	1680						Dn, < 0.1								
X941684	1684						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X941709	1709		Up, < 0.1		Up, < 0.1				Up, < 0.1						
X941714	1714		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X941759	1759					Dn, < 0.1									
X941807	1807		Dn, < 0.1		Dn, < 0.1						Up, < 0.1	Up, < 0.1			
X941817	1817								Up, < 0.01	Up, < 0.01	Up, < 0.1	Up, < 0.1		Dn, < 0.1	
X941887	1887	Dn, < 0.01		Dn, < 0.01											
X941902	1902							Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X942011	2011								Up, < 0.1				Dn, < 0.1		
X942026	2026	Dn, < 0.1													
X942094	2094		Dn, < 0.1		Dn, < 0.1	Up, < 0.01		Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X942191	2191		Up, < 0.1		Up, < 0.1	Dn, < 0.01									Up, < 0.01
X942237	2237	Up, < 0.1				Up, < 0.1									
X942303	2303					Up, < 0.1									
X942319	2319	Up, < 0.1		Up, < 0.1											
X942359	2359		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X942398	2398	Up, < 0.1				Up, < 0.1	Up, < 0.1							Up, < 0.01	
X942402	2402						Dn, < 0.1								
X942429	2429								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X942467	2467														Dn, < 0.1
X942489	2489										Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		
X942490	2490		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X942504	2504								Up, < 0.01				Dn, < 0.1		
X950003	3						Dn, < 0.01	Dn, < 0.01	Dn, < 0.1		Dn, < 0.01				
X950006	6					Dn, < 0.1									
X950007	7	Up, < 0.1		Up, < 0.1											
X950008	8					Dn, < 0.01		Dn, < 0.1							
X950010	10		Dn, < 0.1		Dn, < 0.1	Up, < 0.01				Up, < 0.1					
X950012	12			Up, < 0.1											
X950015	15	Up, < 0.1		Up, < 0.01									Dn, < 0.1		
X950016	16	Dn, < 0.1													Dn, < 0.1
X950017	17	Dn, < 0.1	Up, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.01	Up, < 0.1			Dn, < 0.1			Up, < 0.1
X950018	18	Dn, < 0.01	Up, < 0.01	Dn, < 0.1	Up, < 0.01				Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X950020	20					Dn, < 0.01			Dn, < 0.1						
X950023	23	Up, < 0.01													Up, < 0.1
X950028	28	Up, < 0.1													Up, < 0.1
X950032	32		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1								Dn, < 0.1
X950035	35								Up, < 0.1					Dn, < 0.1	Dn, < 0.1
X950037	37					Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X950040	40														Up, < 0.1
X950041	41													Dn, < 0.1	Dn, < 0.1
X950042	42										Dn, < 0.1		Dn, < 0.01		
X950044	44	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1									
X950046	46	Dn, < 0.1	Up, < 0.01		Up, < 0.1			Up, < 0.1		Dn, < 0.01					Up, < 0.1
X950048	48					Dn, < 0.1									
X950053	53	Dn, < 0.1		Dn, < 0.1											
X950054	54					Up, < 0.1		Up, < 0.1							
X950055	55								Dn, < 0.1						
X950056	56	Up, < 0.1													Up, < 0.01
X950058	58	Up, < 0.1						Dn, < 0.1		Up, < 0.1				Up, < 0.1	Up, < 0.1
X950061	61			Dn, < 0.1		Dn, < 0.001									
X950065	65	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X950069	69								Dn, < 0.1						
X950071	71	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1									
X950073	73							Dn, < 0.1				Up, < 0.1	Up, < 0.1		
X950074	74		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X950077	77					Up, < 0.1			Up, < 0.1		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X950078	78					Dn, < 0.1									
X950079	79	Up, < 0.1				Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1	Up, < 0.1	
X950080	80			Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Dn, < 0.01	Dn, < 0.01	Dn, < 0.1		Dn, < 0.1				
X950083	83	Dn, < 0.1				Up, < 0.1								Dn, < 0.1	
X950086	86		Up, < 0.1		Up, < 0.1	Dn, < 0.1									Up, < 0.1
X950088	88					Dn, < 0.01									
X950089	89	Dn, < 0.1		Dn, < 0.1					Up, < 0.1					Dn, < 0.1	
X950094	94						Up, < 0.1					Dn, < 0.1			Up, < 0.1
X950099	99										Dn, < 0.1				
X950101	101							Dn, < 0.01		Up, < 0.1					
X950102	102	Up, < 0.1							Up, < 0.1						
X950105	105	Dn, < 0.01		Dn, < 0.1				Dn, < 0.1		Up, < 0.1				Dn, < 0.1	
X950110	110				Up, < 0.1		Dn, < 0.01	Dn, < 0.001	Dn, < 0.1	Up, < 0.1	Dn, < 0.01				
X950112	112		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X950117	117														Dn, < 0.1
